code,arch,n,k,d_model,num_layers,train_iters,train_minutes,EbN0_dB,msg_BER,code_BER,FER,neg_ln_code_BER,frames,frame_errors
"POLAR(32,11)",small_N2_d32,32,11,32,2,1000000,145.24171286026638,4.0,0.03706143465909091,0.02304443359375,0.26634765625,3.7703310313824905,102400,27274
"POLAR(32,11)",small_N2_d32,32,11,32,2,1000000,145.24171286026638,5.0,0.022552379261363636,0.01341064453125,0.165771484375,4.311706519364814,102400,16975
"POLAR(32,11)",small_N2_d32,32,11,32,2,1000000,145.24171286026638,6.0,0.012419211647727272,0.00703277587890625,0.092158203125,4.957173789232662,102400,9437
"POLAR(32,11)",large_N6_d128,32,11,128,6,1000000,754.2762510816257,4.0,0.04857599431818182,0.0189508056640625,0.3319140625,3.9659088331034917,102400,33988
"POLAR(32,11)",large_N6_d128,32,11,128,6,1000000,754.2762510816257,5.0,0.03199396306818182,0.011978759765625,0.223017578125,4.424620217060887,102400,22837
"POLAR(32,11)",large_N6_d128,32,11,128,6,1000000,754.2762510816257,6.0,0.018616832386363635,0.0067987060546875,0.13224609375,4.991022970982136,102400,13542
"POLAR(64,32)",small_N2_d32,64,32,32,2,1000000,222.65460369586944,4.0,0.0222247314453125,0.016078033447265626,0.457509765625,4.130301320765954,102400,46849
"POLAR(64,32)",small_N2_d32,64,32,32,2,1000000,222.65460369586944,5.0,0.01210357666015625,0.008435516357421876,0.2810546875,4.775304348803075,102400,28780
"POLAR(64,32)",small_N2_d32,64,32,32,2,1000000,222.65460369586944,6.0,0.005849609375,0.0039453125,0.148515625,5.535227113626394,102400,15208
"POLAR(64,32)",large_N6_d128,64,32,128,6,1000000,1406.7881149967511,4.0,0.0125067138671875,0.0111669921875,0.269404296875,4.494792978124709,102400,27587
"POLAR(64,32)",large_N6_d128,64,32,128,6,1000000,1406.7881149967511,5.0,0.00557037353515625,0.0048724365234375,0.136728515625,5.324161154181527,102400,14001
"POLAR(64,32)",large_N6_d128,64,32,128,6,1000000,1406.7881149967511,6.0,0.0022149658203125,0.0018902587890625,0.060498046875,6.271041533854123,102400,6195
"BCH(31,16)",small_N2_d32,31,16,32,2,1000000,142.56658240556717,4.0,0.0244122314453125,0.019534085181451614,0.25724609375,3.93559438129002,102400,26342
"BCH(31,16)",small_N2_d32,31,16,32,2,1000000,142.56658240556717,5.0,0.011943359375,0.010011025705645162,0.13396484375,4.604068222808085,102400,13718
"BCH(31,16)",small_N2_d32,31,16,32,2,1000000,142.56658240556717,6.0,0.004801025390625,0.004469821068548387,0.05705078125,5.410406900565377,102400,5842
"BCH(31,16)",large_N6_d128,31,16,128,6,1000000,737.2082777221998,4.0,0.0163275146484375,0.010245715725806452,0.15130859375,4.580895638744963,102400,15494
"BCH(31,16)",large_N6_d128,31,16,128,6,1000000,737.2082777221998,5.0,0.007841796875,0.0046153603830645165,0.07333984375,5.378365324571377,102400,7510
"BCH(31,16)",large_N6_d128,31,16,128,6,1000000,737.2082777221998,6.0,0.0030908203125,0.0017556073588709678,0.02904296875,6.344940408503154,102400,2974
"BCH(63,45)",small_N2_d32,63,45,32,2,1000000,221.77134202718736,4.0,0.01763628472222222,0.013806888640873016,0.543515625,4.282587634491453,102400,55656
"BCH(63,45)",small_N2_d32,63,45,32,2,1000000,221.77134202718736,5.0,0.009559895833333333,0.007257874503968254,0.34876953125,4.925668261058814,102400,35714
"BCH(63,45)",small_N2_d32,63,45,32,2,1000000,221.77134202718736,6.0,0.0047322048611111115,0.003506324404761905,0.1916796875,5.653186968308965,102400,19628
"BCH(63,45)",large_N6_d128,63,45,128,6,1000000,1400.5704131563505,4.0,0.01115451388888889,0.00987552703373016,0.323447265625,4.6176955991147866,102400,33121
"BCH(63,45)",large_N6_d128,63,45,128,6,1000000,1400.5704131563505,5.0,0.0047465277777777775,0.004077845982142858,0.159765625,5.502186375531612,102400,16360
"BCH(63,45)",large_N6_d128,63,45,128,6,1000000,1400.5704131563505,6.0,0.0017706163194444445,0.0014704241071428572,0.0671484375,6.5222044115415505,102400,6876
"LDPC(49,24)",small_N2_d32,49,24,32,2,1000000,194.91672628323238,4.0,0.03510335286458333,0.022452566964285714,0.48029296875,3.7963503299367796,102400,49182
"LDPC(49,24)",small_N2_d32,49,24,32,2,1000000,194.91672628323238,5.0,0.0198681640625,0.012696906887755101,0.2934765625,4.3663968673264995,102400,30052
"LDPC(49,24)",small_N2_d32,49,24,32,2,1000000,194.91672628323238,6.0,0.009678141276041666,0.00626594387755102,0.150595703125,5.0726260431550285,102400,15421
"LDPC(49,24)",large_N6_d128,49,24,128,6,1000000,1140.8426245093347,4.0,0.022165934244791668,0.013337651466836735,0.2980078125,4.317164305954889,102400,30516
"LDPC(49,24)",large_N6_d128,49,24,128,6,1000000,1140.8426245093347,5.0,0.011382242838541667,0.006583027742346939,0.15865234375,5.023260496264514,102400,16246
"LDPC(49,24)",large_N6_d128,49,24,128,6,1000000,1140.8426245093347,6.0,0.004868977864583333,0.0027283960459183673,0.069326171875,5.904041371415676,102400,7099
"RS(60,52)",small_N2_d32,60,52,32,2,1000000,215.10846440792085,4.0,0.01254375751201923,0.0119326171875,0.41564453125,4.428479688265068,102400,42562
"RS(60,52)",small_N2_d32,60,52,32,2,1000000,215.10846440792085,5.0,0.0051652644230769235,0.004945638020833333,0.199873046875,5.309249298805933,102400,20467
"RS(60,52)",small_N2_d32,60,52,32,2,1000000,215.10846440792085,6.0,0.0016890775240384615,0.0016533203125,0.072490234375,6.404969702448454,102400,7423
