code,arch,n,k,num_layers,d_model,4.0,5.0,6.0
"BCH(31,16)",large_N6_d128,31,16,6,128,4.580895638744963,5.378365324571377,6.344940408503154
"BCH(31,16)",small_N2_d32,31,16,2,32,3.93559438129002,4.604068222808085,5.410406900565377
"BCH(63,45)",large_N6_d128,63,45,6,128,4.6176955991147866,5.502186375531612,6.5222044115415505
"BCH(63,45)",small_N2_d32,63,45,2,32,4.282587634491453,4.925668261058814,5.653186968308965
"LDPC(49,24)",large_N6_d128,49,24,6,128,4.317164305954889,5.023260496264514,5.904041371415676
"LDPC(49,24)",small_N2_d32,49,24,2,32,3.7963503299367796,4.3663968673264995,5.0726260431550285
"POLAR(32,11)",large_N6_d128,32,11,6,128,3.9659088331034917,4.424620217060887,4.991022970982136
"POLAR(32,11)",small_N2_d32,32,11,2,32,3.7703310313824905,4.311706519364814,4.957173789232662
"POLAR(64,32)",large_N6_d128,64,32,6,128,4.494792978124709,5.324161154181527,6.271041533854123
"POLAR(64,32)",small_N2_d32,64,32,2,32,4.130301320765954,4.775304348803075,5.535227113626394
"RS(60,52)",small_N2_d32,60,52,2,32,4.428479688265068,5.309249298805933,6.404969702448454
